Species,Date,Day,Temp,CO2,Potnum,Water,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi
E. globulus,17/01/2011,1,Amb,400,1082,Sustained drought,-0.376373797,0.002480494,635.6834071,0.875581653,0.021995943,6,0,1.420000017,16.87285805,18.15585327,16.09665108,399.1697388,399.9043274,12.09053802,12.13396263,62.81828308,63.04390335,300.2313232,0.067969382
E. globulus,17/01/2011,1,Amb,400,1082,Sustained drought,-0.390249682,0.00249526,643.1537387,0.87538578,0.022121671,6,0,1.420000017,16.87272644,18.15502548,16.09675789,399.190033,399.952179,12.09114933,12.13481808,62.822052,63.04893875,300.2590637,0.060202084
E. globulus,17/01/2011,1,Amb,400,1082,Sustained drought,-0.39789772,0.002364419,662.0806238,0.875588674,0.020968466,6,0,1.420000017,16.87309265,18.15573502,16.09706306,399.2072449,399.9855042,12.09232044,12.133708,62.82675171,63.04179001,300.2937317,0.041429281
E. globulus,17/01/2011,1,Amb,400,1083,Sustained drought,-0.639117005,0.000918444,1503.413757,0.689105442,0.006426951,6,0,1.420000017,16.96968269,18.42798042,16.09567261,398.7976685,400.0684814,14.34499073,14.35763741,74.05672455,74.12200928,300.5379028,-0.038839422
E. globulus,17/01/2011,1,Amb,400,1083,Sustained drought,-0.664141105,0.00080777,1704.428192,0.689531261,0.005656401,6,0,1.420000017,16.97110176,18.43123436,16.09729195,398.7557678,400.0774841,14.34649277,14.35762596,74.05828857,74.1157608,300.4630127,-0.012299357
E. globulus,17/01/2011,1,Amb,400,1083,Sustained drought,-0.647482825,0.000910312,1527.908138,0.690048937,0.006378761,6,0,1.420000017,16.97119331,18.43582153,16.09693909,398.7677002,400.0557861,14.34593201,14.35848904,74.05536652,74.12019348,300.4136353,0.080270611
E. globulus,17/01/2011,1,Amb,400,1083,Sustained drought,-0.647986369,0.000822083,1650.333406,0.6907048,0.005766347,6,0,1.420000017,16.97164345,18.44190025,16.09807205,398.7703247,400.0598145,14.34859848,14.35994911,74.06748199,74.12607574,300.4348755,0.011652168
E. globulus,17/01/2011,1,Amb,400,1083,Sustained drought,-0.672742022,0.000953504,1518.851025,0.690486064,0.006685432,6,0,1.420000017,16.97156334,18.44272041,16.0975399,398.758667,400.0968628,14.35001564,14.36317539,74.07543182,74.14336395,300.4346008,-0.036898106
E. globulus,17/01/2011,1,Amb,400,1084,Rewatered  drought,-0.498214151,0.030370661,421.8811252,0.745635725,0.22522126,6,0,1.420000017,16.90172195,18.28368378,16.09834099,399.3039551,400.1192322,13.16082668,13.60464001,68.2243042,70.5249939,300.3387146,0.00129468
E. globulus,17/01/2011,1,Amb,400,1084,Rewatered  drought,-0.523589509,0.030371226,423.2639731,0.745547819,0.225199113,6,0,1.420000017,16.90216827,18.28355789,16.09826088,399.2832336,400.149231,13.16158485,13.60536575,68.22623444,70.52667999,300.3309021,0.011004823
E. globulus,17/01/2011,1,Amb,400,1084,Rewatered  drought,-0.489672772,0.030782537,421.048107,0.744953385,0.228001741,6,0,1.420000017,16.90279579,18.28344154,16.09737968,399.2835388,400.0795898,13.16176224,13.6110754,68.22478485,70.55383301,300.3229065,-0.001942022
E. globulus,17/01/2011,1,Amb,400,1084,Rewatered  drought,-0.502801533,0.030696023,421.8544838,0.744948395,0.227374335,6,0,1.420000017,16.90267372,18.28449631,16.09680557,399.2996521,400.122406,13.16450691,13.61257839,68.23924255,70.56185913,300.3259888,-0.022009311
E. globulus,17/01/2011,1,Amb,400,1084,Rewatered  drought,-0.463357335,0.031099334,419.3536846,0.744356543,0.230116474,6,0,1.420000017,16.901968,18.28485489,16.09589005,399.2672119,400.0090027,13.16555214,13.61901188,68.24745941,70.59809875,300.3342896,0.066674821
E. globulus,17/01/2011,1,Amb,400,1097,Rewatered  drought,-0.747124001,0.078923792,411.026411,0.760393837,0.576898677,6,0,1.420000017,16.7929306,17.86107445,16.0982132,399.0970154,400.1284485,11.76217651,12.89982414,61.42380524,67.36476898,300.3338318,0.043371618
E. globulus,17/01/2011,1,Amb,400,1097,Rewatered  drought,-0.698402472,0.079108488,409.9116747,0.760142719,0.57798683,6,0,1.420000017,16.79285622,17.86072159,16.09843063,399.1392822,400.0726013,11.76204777,12.90187073,61.42344284,67.37579346,300.3254395,0.03430827
E. globulus,17/01/2011,1,Amb,400,1097,Rewatered  drought,-0.688005467,0.07892042,409.748306,0.760169252,0.57670612,6,0,1.420000017,16.79301834,17.86182594,16.09916878,399.1824036,400.0957947,11.76592827,12.90303326,61.44306183,67.38115692,300.375885,-0.002589331
E. globulus,17/01/2011,1,Amb,400,1097,Rewatered  drought,-0.708129777,0.078709159,410.3102067,0.760207136,0.575270142,6,0,1.420000017,16.79280853,17.86051559,16.0983696,399.2414856,400.1961365,11.76663589,12.90094662,61.44766235,67.37125397,300.3666992,-0.016183378
E. globulus,17/01/2011,1,Amb,400,1097,Rewatered  drought,-0.747688079,0.078731664,411.206749,0.759817961,0.575130692,6,0,1.420000017,16.79306984,17.85817528,16.09807587,399.2242737,400.2580261,11.76772976,12.90180969,61.45236206,67.37464905,300.3547363,-0.045313731
